Id,SalePrice
1001,185000
1002,91000
1003,172500
1004,143000
1005,192500
1006,185000
1007,185000
1008,75000
1009,185000
1010,127500
1011,185000
1012,118858
1013,91000
1014,139000
1015,91000
1016,197000
1017,185000
1018,140000
1019,185000
1020,192500
1021,155000
1022,233230
1023,135000
1024,192500
1025,190000
1026,117500
1027,185000
1028,248900
1029,133000
1030,113000
1031,140000
1032,185000
1033,290000
1034,185000
1035,91000
1036,107500
1037,185000
1038,233230
1039,91000
1040,75500
1041,139000
1042,140000
1043,207500
1044,348000
1045,185000
1046,185000
1047,233230
1048,156000
1049,185000
1050,107500
1051,172500
1052,181000
1053,176000
1054,155000
1055,233230
1056,140000
1057,189000
1058,173900
1059,173900
1060,185000
1061,185000
1062,91000
1063,140000
1064,91000
1065,185000
1066,187000
1067,168000
1068,187000
1069,185000
1070,100000
1071,185000
1072,155000
1073,91000
1074,185000
1075,172500
1076,140000
1077,185000
1078,125000
1079,140000
1080,136500
1081,140000
1082,135000
1083,185000
1084,149000
1085,185000
1086,148000
1087,88000
1088,266000
1089,130000
1090,316600
1091,87500
1092,155000
1093,185000
1094,185000
1095,120000
1096,185000
1097,140000
1098,140000
1099,135000
1100,185000
1101,39300
1102,79500
1103,135000
1104,140000
1105,151000
1106,173900
1107,185000
1108,233230
1109,172400
1110,185000
1111,185000
1112,205000
1113,135000
1114,135000
1115,110000
1116,285000
1117,180000
1118,133900
1119,91000
1120,135000
1121,137000
1122,221500
1123,60000
1124,116500
1125,185000
1126,120500
1127,172500
1128,233230
1129,225000
1130,135000
1131,185000
1132,79500
1133,106000
1134,173900
1135,185000
1136,91000
1137,135000
1138,135000
1139,185000
1140,185000
1141,110000
1142,187000
1143,233230
1144,67000
1145,79500
1146,91000
1147,185000
1148,188700
1149,110000
1150,139000
1151,79500
1152,185000
1153,140000
1154,100000
1155,135000
1156,185000
1157,187000
1158,207500
1159,172500
1160,187000
1161,148500
1162,185000
1163,185000
1164,135000
1165,148000
1166,185000
1167,185000
1168,192000
1169,185000
1170,755000
1171,125000
1172,185000
1173,151000
1174,185000
1175,140000
1176,82500
1177,136500
1178,91000
1179,113000
1180,107500
1181,185000
1182,235000
1183,755000
1184,91000
1185,185000
1186,60000
1187,160000
1188,185000
1189,173900
1190,197000
1191,185000
1192,155000
1193,91000
1194,162000
1195,135000
1196,173900
1197,233230
1198,140000
1199,185000
1200,125000
1201,79500
1202,173900
1203,91000
1204,185000
1205,156000
1206,185000
1207,139000
1208,214000
1209,185000
1210,173900
1211,194500
1212,185000
1213,91000
1214,91000
1215,136500
1216,133900
1217,185000
1218,184900
1219,82000
1220,113000
1221,117500
1222,120000
1223,185000
1224,243000
1225,173900
1226,137500
1227,173900
1228,185000
1229,501837
1230,185000
1231,135000
1232,135000
1233,90000
1234,185000
1235,135000
1236,91000
1237,197000
1238,225000
1239,159000
1240,197000
1241,173900
1242,172500
1243,137500
1244,372402
1245,168000
1246,185000
1247,197000
1248,148000
1249,140000
1250,79500
1251,185000
1252,172500
1253,100000
1254,185000
1255,180000
1256,91000
1257,185000
1258,79500
1259,173900
1260,156000
1261,185000
1262,136500
1263,135000
1264,91000
1265,146000
1266,165000
1267,140000
1268,253293
1269,475000
1270,185000
1271,185000
1272,185000
1273,185000
1274,185000
1275,185000
1276,91000
1277,91000
1278,158000
1279,184900
1280,102776
1281,214000
1282,185000
1283,185000
1284,135000
1285,91000
1286,79500
1287,125000
1288,185000
1289,189000
1290,233230
1291,143000
1292,88000
1293,106000
1294,185000
1295,100000
1296,135000
1297,185000
1298,140000
1299,184750
1300,155000
1301,173900
1302,91000
1303,348000
1304,221500
1305,130000
1306,185000
1307,202665
1308,156000
1309,125000
1310,185000
1311,185000
1312,184900
1313,239000
1314,233230
1315,79500
1316,176000
1317,233230
1318,172500
1319,205000
1320,136500
1321,167000
1322,91000
1323,236000
1324,79500
1325,372500
1326,60000
1327,140000
1328,116500
1329,160000
1330,185000
1331,250000
1332,148000
1333,120500
1334,66500
1335,91000
1336,185000
1337,185000
1338,160000
1339,214900
1340,136500
1341,124500
1342,159000
1343,233230
1344,91000
1345,173900
1346,79500
1347,185000
1348,377426
1349,185000
1350,79500
1351,154300
1352,140000
1353,185000
1354,185000
1355,205000
1356,158000
1357,100000
1358,185000
1359,168500
1360,233230
1361,91000
1362,233230
1363,185000
1364,140000
1365,151000
1366,226000
1367,173900
1368,91000
1369,140000
1370,185000
1371,139000
1372,153000
1373,173900
1374,386250
1375,239900
1376,201000
1377,91000
1378,185000
1379,100000
1380,170000
1381,67000
1382,195000
1383,140000
1384,185000
1385,91000
1386,91000
1387,185000
1388,139000
1389,374000
1390,91000
1391,214000
1392,185000
1393,143000
1394,140000
1395,172500
1396,325000
1397,185000
1398,91000
1399,155000
1400,91000
1401,100000
1402,192000
1403,172500
1404,197000
1405,110000
1406,235000
1407,129500
1408,129500
1409,135000
1410,185000
1411,91000
1412,91000
1413,87500
1414,285000
1415,185000
1416,172500
1417,91000
1418,348000
1419,125000
1420,185000
1421,185000
1422,140000
1423,140000
1424,158000
1425,185000
1426,125000
1427,233230
1428,135000
1429,110000
1430,175500
1431,173900
1432,185000
1433,185000
1434,185000
1435,125000
1436,140000
1437,185000
1438,377426
1439,139000
1440,158000
1441,185000
1442,141000
1443,426000
1444,91000
1445,185000
1446,135000
1447,135000
1448,233230
1449,79000
1450,84500
1451,135000
1452,264132
1453,125000
1454,125000
1455,189000
1456,172400
1457,180000
1458,164000
1459,185000
1460,140000
